model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,20,1,1,,,,,0,,,,,0,none,,,,none,,,25.10066414553161,0.0,,,,
observed,20,1,1,,,,,0,,,,,0,none,,,,none,,,25.18921654515506,0.0,,,,
ideal,20,1,1,200,20000,1600,0,0,,,,,0,none,,,0.9334813341128142,none,,,24.0,1.2000000000000002,,,,
particle,20,1,1,200,20000,1600,0,0,0.002737541388979264,0.004047871534891456,0.00021713403463572692,-0.00152746418054792,0,none,,,0.9224062735850944,none,,,23.99488582554386,1.17153791934539,,,,
franken,20,1,1,200,20000,1600,0,0,8.270611359774199e-5,0.0031267023439973674,6.932855775646388e-6,-0.0030509290861752713,0,none,,,0.9219213469413832,none,,5,24.00169591162189,1.1979151357526037,0.00010697919587229426,0.0020270759879905233,9.040180260431964e-6,-0.0019291369723786604
truth,20,1,2,,,,,0,,,,,0,none,,,,none,,,-2.115602691959658,0.0,,,,
observed,20,1,2,,,,,0,2.7619665365204167,0.0,2.7619665365204167,0.0,0,none,,,,none,,,-2.2056865977393265,75.0,,,,
ideal,20,1,2,200,20000,1600,0,0,0.0031432694278402465,0.018879802493154647,0.00015664714607592977,-0.015893180211390332,0,none,,,2.2782804184491923,none,,,-2.089732232262607,0.11946902654866776,,,,
particle,20,1,2,200,20000,1600,0,0,NaN,NaN,NaN,NaN,0,none,0.421647358,,NaN,none,,,NaN,NaN,,,,
franken,20,1,2,200,20000,1600,0,0,7.750183244799004e14,7.750183244799286e14,1.0577471442795798,-29.391968193827417,0,none,7.1501089,,2.6920763157631513,none,,5,1.1409973141651237,3.060536681659739e-11,,,,
truth,20,1,3,,,,,0,,,,,0,none,,,,none,,,23.006328068611698,0.0,,,,
observed,20,1,3,,,,,0,1.133694248651165,0.0,1.133694248651165,0.0,0,none,,,,none,,,22.82387330948785,75.0,,,,
ideal,20,1,3,200,20000,1600,1,0,0.00333032651124561,-0.0241467071674607,0.0009232756552477796,0.026553758023458534,0,none,,,1.5854338705026336,none,,,22.800085251584434,0.11946902654866776,,,,
particle,20,1,3,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.132822892,,NaN,none,,,NaN,NaN,,,,
franken,20,1,3,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,4.967676399,,NaN,none,,5,NaN,NaN,,,,
